epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.09363,4.46321,13.3754,2.06717,0.00022,0.06,0.00012,4e-05,3.52173,6.51631,1.96678,0.0982,0.0002,0.0002
2,2.52954,3.27067,8.20654,1.98267,0.00022,0.06,0.00012,4e-05,3.50662,6.52431,1.9593,0.095495,0.00049505,0.00049505
3,2.99527,3.48369,7.27492,2.16924,0.00029,0.08,0.00018,7e-05,3.35183,6.54844,1.82073,0.0927842,0.00078416,0.00078416
4,3.56503,3.41028,7.1437,1.85149,0.00036,0.1,0.00024,7e-05,3.2415,5.9132,1.68518,0.0900673,0.00106733,0.00106733
5,4.03107,3.03101,6.84597,1.58987,0.00036,0.1,0.00024,0.0001,3.00893,5.71307,1.57175,0.0873446,0.00134456,0.00134456
6,4.50041,2.99805,6.0649,1.69257,0.00043,0.12,0.00029,0.00013,2.8062,4.33716,1.49307,0.0846159,0.00161585,0.00161585
7,4.95731,2.6546,5.22051,1.45423,0.00051,0.14,0.00036,0.00015,2.75239,4.0422,1.46981,0.0818812,0.0018812,0.0018812
8,5.41864,2.87637,5.57867,1.52515,0.00051,0.14,0.00037,0.00018,2.62622,3.99111,1.39081,0.0791406,0.00214061,0.00214061
9,5.88908,2.58219,4.77952,1.52608,0.00072,0.2,0.0006,0.00024,2.46709,3.93178,1.33413,0.0763941,0.00239408,0.00239408
10,6.34135,2.18073,4.19407,1.2875,0.0008,0.22,0.00065,0.00034,2.28306,3.89464,1.27011,0.0736416,0.00264161,0.00264161
11,6.79178,2.33576,4.20752,1.36051,0.0008,0.22,0.00074,0.00042,2.24306,3.83889,1.18751,0.0708832,0.0028832,0.0028832
12,7.25563,2.71594,3.72595,1.45802,0.0013,0.36,0.00133,0.00058,2.13966,3.78857,1.16714,0.0681189,0.00311885,0.00311885
13,7.71925,2.47344,3.14094,1.38934,0.0013,0.36,0.00154,0.00061,2.07966,3.76903,1.16486,0.0653486,0.00334856,0.00334856
14,8.1709,2.25409,3.09903,1.23439,0.00116,0.32,0.00132,0.00063,2.05245,3.78269,1.16818,0.0625723,0.00357233,0.00357233
15,8.61408,2.31216,2.96888,1.34667,0.00188,0.4,0.00247,0.00104,2.16128,3.75547,1.21732,0.0597902,0.00379016,0.00379016
16,9.07091,2.34669,2.83838,1.44754,0.00265,0.42,0.00264,0.00118,2.07315,3.75327,1.17694,0.057002,0.00400205,0.00400205
17,9.53904,2.39767,2.36362,1.38798,0.00557,0.58,0.10467,0.03066,2.13119,3.58049,1.15771,0.054208,0.004208,0.004208
18,9.98409,2.25301,2.96324,1.30905,0.00541,0.54,0.07612,0.04237,1.97533,3.58619,1.14593,0.051408,0.00440801,0.00440801
19,10.4405,2.19567,2.67602,1.25019,0.00659,0.58,0.18597,0.1061,1.89326,3.41954,1.16187,0.0486021,0.00460208,0.00460208
20,10.8963,2.3327,2.40563,1.3555,0.00752,0.64,0.15483,0.05761,1.92829,3.44851,1.10069,0.0457902,0.00479021,0.00479021
21,11.3532,2.56234,2.67961,1.25346,0.00889,0.76,0.38819,0.20076,1.86419,3.091,1.13217,0.0429724,0.0049724,0.0049724
22,11.8284,2.14266,2.20419,1.25299,0.00876,0.7,0.4027,0.19121,1.87867,3.1626,1.15422,0.0401487,0.00514865,0.00514865
23,12.3857,2.00343,2.05284,1.20454,0.00834,0.7,0.40195,0.19997,1.81601,3.05494,1.09731,0.037319,0.00531896,0.00531896
24,12.831,2.18817,2.2146,1.16583,0.00869,0.68,0.31235,0.15887,1.84274,3.30344,1.07657,0.0344833,0.00548333,0.00548333
25,13.2614,2.13149,2.14028,1.20634,0.00878,0.74,0.45311,0.21397,1.91034,2.92926,1.11764,0.0316418,0.00564176,0.00564176
26,13.7092,2.41499,2.73288,1.21813,0.00779,0.68,0.27935,0.14652,1.93842,3.1453,1.1024,0.0287943,0.00579425,0.00579425
27,14.1531,2.06268,2.05351,1.17035,0.91207,0.20788,0.43066,0.17123,2.05308,2.81162,1.15863,0.0259408,0.0059408,0.0059408
28,14.5819,2.11263,2.07741,1.26018,1,0.21127,0.52284,0.27487,1.73219,2.72266,1.04735,0.0230814,0.00608141,0.00608141
29,15.0118,2.09187,2.01265,1.17032,1,0.21127,0.52284,0.27487,1.73219,2.72266,1.04735,0.0202161,0.00621608,0.00621608
30,15.4969,1.97803,2.08492,1.14367,1,0.12995,0.5455,0.23726,1.83718,2.63708,1.05438,0.0173448,0.00634481,0.00634481
31,15.961,2.38055,2.4016,1.1308,0.85073,0.22832,0.51762,0.2359,1.91421,2.28224,1.08173,0.0144676,0.0064676,0.0064676
32,16.4196,2.0263,1.9225,1.25797,1,0.07757,0.36356,0.14841,2.11818,2.98315,1.09661,0.0115844,0.00658445,0.00658445
